platsfr;platsti;unespar;sparnr;bdl;kmfr;meterfr;bdl;kmti;meterti;spm;objnr;radie;Km+m;Km+m_ti
Fle;Fle;E;3;414;110;484;414;110;562;78;36246;1200;110,4838;110,561833
Bom;Gä;U;;434;110;492;434;111;468;976;18075;955;110,4924797;111,4684497
Bom;Gä;N;;434;110;494;434;111;470;976;18077;950;110,4938298;111,4699597
Fle;Fle;;4;414;110;495;414;110;568;73;36250;1200;110,495281;110,568272
Fle;Fle;N;1;414;110;513;414;110;570;57;28078;4150;110,512546;110,570041
Vå;Vå;;Metall;349;110;520;349;110;541;21;34334;-300;110,519993;110,541455
Vå;Vå;;2;349;110;545;349;110;566;21;28965;760;110,545115;110,5658083
Skrt;Brö;E;;327;110;563;327;110;866;303;9142;-443;110,563158;110,866096
Vå;Vå;;Metall;349;110;570;349;110;579;9;34335;300;110,57018;110,578882
Tpu;Klh;E;;265;110;584;265;110;614;30;31949;-900;110,584;110,614
Fle;Fle;E;3;414;110;588;414;110;623;35;36247;-1200;110,587833;110,622939
Fle;Fle;;4;414;110;588;414;110;624;35;36251;-1204,5;110,588486;110,623836
Lve;Jps;E;;552;110;595;552;110;632;37;10040;12500;110,595;110,632
Vå;Vå;;4a;349;110;621;349;110;657;36;28955;3000;110,6214523;110,65728
Ros;Htg;E;;153;110;630;153;111;350;720;2068;-1771;110,63;111,35
Vå;Vå;;6;349;110;633;349;110;653;20;28960;-1000;110,6328248;110,6528251
Vå;Vå;;2;349;110;635;349;110;727;92;28966;-1800;110,6354868;110,7274366
Rb;Nät;E;;943;110;636;943;111;63;421;14720;998;110,636413;111,062942
Vå;Vå;;1a;349;110;650;349;110;665;15;28969;-1800;110,649528;110,6645276
Vå;Vå;N;3a;349;110;657;349;110;698;41;28695;1800;110,6568806;110,6982333
Vå;Vå;U;5;349;110;661;349;110;701;40;28709;1200;110,6606165;110,7010414
Vå;Vå;;1a;349;110;665;349;110;730;66;28970;-400;110,6645276;110,7300592
Lme;Lme;E;2;721;110;673;721;110;759;86;24114;482;110,6733;110,7593319
Vibh;Sro;E;;841;110;711;841;110;879;169;13955;-475;110,7108003;110,8794004
Lme;Lme;E;2;721;110;759;721;110;861;102;24114;482;110,7593319;110,86116
N;N;E;jönkping;817;110;769;817;110;910;140;12551;40000;110,769392;110,909864
Bdy;Rft;E;;732;110;839;732;111;56;218;12821;767;110,839;111,0562002
Mkl;Mkl;E;1;621;110;878;621;111;340;458;10479;-578;110,878;111,3398
Fle;Fle;;5;414;110;889;414;110;912;23;36255;-300;110,888671;110,911755
Fle;Fle;E;3;414;110;891;414;110;964;73;36248;-1725;110,890761;110,963592
Fle;Fle;;4;414;110;892;414;110;917;26;36252;-1729,5;110,89165;110,91715
Vå;Vå;;2;349;110;894;349;110;953;60;28967;-2400;110,8935615;110,9532641
Vå;Vå;;1a;349;110;912;349;110;954;42;28971;-2404,5;110,9117736;110,954003
Tpu;Klh;E;;265;110;919;265;110;979;60;31950;-820;110,919;110,979
Nkr;Mos;E;;161;110;928;161;111;172;244;2125;790;110,928;111,172
Vå;Vå;;9;349;110;933;349;110;992;60;28964;250;110,9325657;110,992072
Vå;Vå;;6;349;110;966;349;111;18;52;28962;400;110,966304;111,0181194
Vå;Vå;N;3b;349;110;969;349;111;47;79;28696;1600;110,9688551;111,0470896
Vå;Vå;;7;349;110;971;349;110;997;26;28963;200;110,9710107;110,9968232
Vå;Vå;U;5;349;110;988;349;111;32;49;28710;760;110,9877478;111,0318774
Vå;Vå;;4b;349;110;1001;349;111;18;20;28956;1098;111,001391;111,017595
Fle;Fle;;4;414;111;18;414;111;55;37;36253;-1200;111,01785;111,055332
Fle;Fle;E;3;414;111;31;414;111;111;80;36249;1200;111,031034;111,110916
N;N;E;jönkping;817;111;31;817;111;36;5;12552;-635;111,031152;111,0357748
N;N;E;21;817;111;36;817;111;71;35;12552;-635;111,0357748;111,070585
Vå;Vå;;2;349;111;43;349;111;111;67;28968;2000;111,0430515;111,1105077
Vå;Vå;;1b;349;111;53;349;111;86;34;28972;1226;111,0529243;111,0864484
Må;Hy;E;;431;111;59;431;111;103;44;22361;-60000;111,0591046;111,1033027
N;N;;431-432;816;111;65;816;111;106;41;28682;700;111,065;111,106
Fle;Fle;;4;414;111;75;414;111;142;67;36254;1200;111,075332;111,142364
Vå;Vå;;1b;349;111;86;349;111;126;39;28973;1800;111,0864484;111,1257412
Vå;Vå;N;3;349;111;98;349;111;119;21;28697;760;111,0983356;111,119286
Vå;Vå;U;5;349;111;136;349;111;193;57;28711;-756;111,1359858;111,1934469
Vå;Vå;N;3;349;111;140;349;111;172;32;34326;-760;111,13967;111,171845
Vå;Vå;;4b;349;111;146;349;111;161;15;34367;-2043;111,146064;111,160735
Vå;Vå;;1b;349;111;151;349;111;192;40;28974;-320;111,1511939;111,1915465
Vibh;Sro;E;;841;111;183;841;111;200;17;13956;-326;111,1831;111,1999907
Vå;Vå;U;5;349;111;193;349;111;234;41;28711;-756;111,1934469;111,2342071
Sro;Sro;E;1;841;111;200;841;111;219;19;13956;-326;111,1999907;111,2189
Kat;Gun;E;;152;111;248;152;111;441;193;20941;590;111,248;111,441
Rb;Nät;E;;943;111;324;943;111;599;276;14721;-997;111,32361;111,59915
N;N;E;21;817;111;350;817;111;599;249;15431;817;111,350077;111,598691
Rås;Drt;E;;636;111;401;636;111;617;215;20282;500;111,4014298;111,6167506
Klh;Klh;E;;265;111;409;265;111;562;153;31951;1800;111,409;111,562
Fle;Fle;U;2;414;111;488;414;111;605;117;7148;-4447;111,488;111,605
Fle;Fle;N;1;414;111;514;414;111;568;54;28039;-3550;111,5138619;111,5675869
Rft;Rft;E;1;732;111;520;732;111;520;0;29598;99999;111,520449;111,52046
Ros;Htg;E;;153;111;620;153;111;730;110;2069;-882;111,62;111,73
Sro;Sro;E;1;841;111;630;841;111;798;169;13957;-351;111,6298;111,7983
N;N;E;21;817;111;639;817;111;870;232;15432;609;111,638691;111,870399
Jps;Jps;E;3;552;111;670;552;111;740;70;10041;3834;111,67;111,74
Skrt;Brö;E;;327;111;671;327;111;929;258;9143;573;111,671402;111,929016
Nkr;Mos;E;;161;111;692;161;111;943;251;2126;506;111,692;111,943
Rft;Rft;;2;732;111;695;732;111;695;0;29600;99999;111,6946002;111,69461
Möa;Bg;E;;832;111;705;832;111;888;183;13860;775;111,7053;111,8882998
Bom;Gä;N;;434;111;734;434;112;104;137;18078;-24000;111,7337598;112,10352
Lme;Lme;E;2;721;111;739;721;111;801;62;24118;-1484;111,7393;111,801074
Hvn;Uf;E;;261;111;795;261;112;353;557;2849;1507;111,795;112,353
Jps;Jps;E;3;552;111;800;552;112;248;454;10042;-7143;111,8;112,24826
Lme;Lme;E;2;721;111;801;721;112;16;215;24118;-1484;111,801074;112,01601
Rft;Rft;;2;732;111;826;732;111;909;83;29601;-750;111,825647;111,908656
Fle;Sde;N;;414;111;869;414;111;969;101;28040;3500;111,8686365;111,9694718
Kat;Gun;E;;152;111;872;152;112;31;156;20942;-390;111,872;112,0310005
Klh;Born;E;;265;111;872;265;112;192;320;31952;2135;111,872;112,192
Fle;Sde;U;;414;111;877;414;111;958;81;7149;3310;111,877;111,958
Moy;Boa;E;;654;111;940;654;112;176;226;11677;1429;111,94;112,176199
Vå;Vå;U;5;349;111;951;349;112;54;108;28712;591;111,95068;112,054384
Vå;Vå;N;2;349;111;951;349;112;54;107;28699;586,5;111,951492;112,054264
Rft;Rft;E;1;732;111;952;732;111;952;0;29599;99999;111,951532;111,95154
Sro;Hf;E;;841;111;952;841;112;161;208;13958;607;111,952;112,16135
Lme;Grm;E;;721;112;16;721;112;369;353;24118;-1484;112,01601;112,36897
Ros;Htg;E;;153;112;60;153;112;200;140;2070;-1231;112,06;112,2
Rås;Drt;E;;636;112;86;636;112;124;38;11357;413;112,0860605;112,1240605
Skrt;Brö;E;;327;112;96;327;112;189;93;9144;-577;112,096079;112,189057
Nkr;Mos;E;;161;112;123;161;112;277;154;2127;-508;112,123;112,277
Fok;Rke;E;;450;112;153;450;112;375;223;8200;-1142;112,1529001;112,3754001
Lsd;Lea;E;;331;112;172;331;112;233;61;6014;1490;112,1716;112,23299
Vå;Vå;N;2;349;112;198;349;112;323;124;28700;-5004,5;112,198264;112,32258
Vå;Vå;U;5;349;112;198;349;112;323;125;28713;-5000;112,198384;112,323309
Kat;Gun;E;;152;112;201;152;112;276;75;20943;390;112,201;112,276
Lea;Lea;E;1;331;112;233;331;112;495;262;6014;1490;112,2330041;112,4954
Fle;Sde;N;;414;112;242;414;112;540;298;28041;-999;112,2423948;112,540381
Fle;Sde;U;;414;112;243;414;112;542;299;7150;-1000;112,243;112,542
Jps;Jps;E;3;552;112;248;552;112;255;7;10042;-7143;112,24826;112,2552
Rås;Drt;E;;636;112;298;636;112;372;74;11358;-603;112,2980605;112,3718564
Jps;Jps;E;3;552;112;305;552;112;326;21;10043;1515;112,3052;112,3262
Mkl;Mkl;E;1;621;112;324;621;112;416;92;10480;-1851;112,324;112,416
Nkr;Mos;E;;161;112;327;161;112;602;275;2128;-2100;112,327;112,602
N;N;E;7;817;112;328;817;112;374;46;28251;550;112,327571;112,373671
Avk;Vk;E;;845;112;344;845;112;448;104;9124;1111;112,344;112,448
Möa;Bg;E;;832;112;348;832;112;708;360;13861;-328;112,3483;112,708001
Sro;Hf;E;;841;112;360;841;112;610;250;13959;-601;112,35985;112,60955
Rb;Nät;E;;943;112;387;943;112;551;164;14722;-1978;112,38655;112,55079
Ros;Htg;E;;153;112;450;153;112;565;115;2071;-1174;112,45;112,565
Fok;Rke;E;;450;112;450;450;112;505;55;8201;-2150;112,4504001;112,5053003
Skrt;Brö;E;;327;112;519;327;112;593;74;35919;99000;112,519322;112,592954
N;N;E;7;817;112;562;817;112;626;64;28252;840;112,5617;112,6261
Fok;Rke;E;;450;112;580;450;113;56;478;8202;-1180;112,5803003;113,0556003
N;N;E;7;817;112;639;817;112;672;34;28253;320;112,6389;112,6724
Kat;Gun;E;;152;112;731;152;112;944;213;20944;-590;112,731;112,944
Bom;Gä;N;;434;112;779;434;112;963;184;18072;-965;112,7790002;112,9630002
Bom;Gä;U;;434;112;783;434;112;963;180;6422;-950;112,7825208;112,9629207
Ros;Htg;E;;153;112;795;153;113;110;314;2072;346;112,795;113,11
Våv;Våv;;1;349;112;836;349;112;853;17;29808;300;112,836083;112,8527079
Möa;Bg;E;;832;112;838;832;112;972;134;13862;540;112,838;112,9722002
Våv;Våv;;sky2;347;112;847;347;112;870;23;34368;1000;112,84713;112,869761
Våv;Våv;;1;347;112;853;347;112;853;0;29808;300;112,8527079;112,853159
Hy;Hy;E;1;431;112;876;431;112;917;41;22362;-50000;112,8759971;112,9173481
Våv;Våv;;sky2;347;112;876;347;112;887;11;34369;189,514;112,87649;112,8873729
Fle;Sde;N;;414;112;885;414;112;940;55;28042;1150;112,885381;112,9403622
Fle;Sde;U;;414;112;894;414;112;928;34;7151;1105;112,894;112,928
Fabp;He;U;;627;112;904;627;113;631;727;33078;-2504,5;112,903617;113,631056
Fabp;He;N;;627;112;904;627;114;339;1434;33070;-2500;112,904247;114,338592
Våv;Våv;;sky1;001;112;912;001;112;930;17;33495;-700;112,912435;112,929666
Våv;Våv;;1;001;112;915;001;112;924;9;33490;-190;112,914795;112,923816
Våv;Våv;;2;001;112;932;001;112;950;17;34355;3200;112,932356;112,949566
Hvn;Uf;E;;261;112;938;261;113;759;816;2850;-2585;112,938;113,759
Avk;Vk;E;;845;112;947;845;113;59;113;9125;480;112,947002;113,059002
Våv;Våv;;2;001;112;956;001;112;967;12;34356;-190;112,955646;112,967414
Våv;Våv;;2;001;113;8;001;113;29;21;33496;-5000;113,008387;113,029019
Rft;Sdr;E;;732;113;40;732;113;300;260;12822;-768;113,04;113,3
Våv;Våv;;1;001;113;52;001;113;157;105;33491;2300;113,052099;113,156791
Lme;Grm;E;;721;113;60;721;113;400;340;24119;-391;113,0603889;113,400355
Möa;Bg;E;;832;113;72;832;113;214;142;13863;625;113,0718;113,2135996
Våv;Våv;;2;001;113;93;001;113;114;22;33497;490;113,092649;113,114328
Våv;Våv;N;n;349;113;106;349;113;401;295;28701;1680;113,1057603;113,4005455
Nkr;Mos;E;;161;113;110;161;113;200;90;33038;2000;113,11;113,2
Våv;Våv;;5;001;113;126;001;113;188;62;34346;-1000;113,1260109;113,1882999
Våv;Våv;;6;001;113;128;001;113;190;62;34349;-1000;113,1275929;113,1898829
Våv;Våv;;g1;347;113;129;347;113;177;48;34339;750;113,129469;113,177024
Våv;Våv;U;u;349;113;131;349;113;393;262;28714;1511;113,1313567;113,3928673
Kat;Gun;E;;152;113;132;152;113;262;130;20945;386;113,1316997;113,262
Hy;Ist;E;;431;113;139;431;113;681;543;22363;825;113,1385322;113,6811979
Våv;Våv;;2;001;113;150;001;113;185;35;33498;300;113,1501599;113,1854419
Sro;Hf;E;;841;113;161;841;113;231;70;13960;2250;113,1610002;113,2312002
Bom;Gä;N;;434;113;163;434;113;227;64;18073;895;113,163;113,2269902
Bom;Gä;U;;434;113;163;434;113;227;64;6423;900;113,1631001;113,2269902
Boa;Boa;E;1;654;113;170;654;113;300;130;11678;-2381;113,17;113,3
Våv;Våv;;2;001;113;185;001;113;218;33;33499;-300;113,1854419;113,2182479
Våv;Våv;;1;001;113;201;001;113;301;100;33492;750;113,2007379;113,3011959
Gä;Gä;N;3;303;113;227;303;113;399;172;18073;895;113,22699;113,399
Gä;Gä;U;1;303;113;227;303;113;399;172;6423;900;113,22699;113,3993999
Gim;Gim;E;62;171;113;253;171;114;500;1247;34116;-1000;113,253287;114,500218
Våv;Våv;;2;001;113;277;001;113;309;33;33500;300;113,2768529;113,3094149
Våv;Våv;;g1;347;113;301;347;113;334;33;34340;1000;113,301467;113,334197
Våv;Våv;;2;001;113;309;001;113;337;28;33501;-300;113,3094149;113,3374709
Fok;Rke;E;;450;113;326;450;113;512;186;8203;588;113,3256003;113,5117004
Sro;Hf;E;;841;113;335;841;113;488;154;13961;-3410;113,3348002;113,4883002
Ros;Htg;E;;153;113;374;153;113;467;93;2073;590;113,374;113,467
Våv;Våv;;1;001;113;389;001;113;424;35;33493;750;113,388838;113,424263
Rb;Nät;E;;943;113;406;943;114;419;1016;14723;1198;113,40555;114,4185496
Fle;Sde;N;;414;113;526;414;113;705;179;28043;-5106;113,526492;113,7052552
Fle;Sde;U;;414;113;551;414;113;685;134;7152;-4811;113,5510001;113,6850001
Lea;Lea;E;1;331;113;585;331;113;643;58;6015;-850;113,5849;113,643
Våv;Våv;U;u;349;113;593;349;113;633;40;28715;-1511;113,5928673;113,6332199
Nkr;Mos;E;;161;113;600;161;113;860;260;33039;1000;113,6;113,86
Våv;Våv;N;n;349;113;603;349;113;652;49;28702;-1680;113,6025455;113,6516818
Våv;Våv;;1;347;113;612;347;113;654;42;33494;-500;113,612388;113,65416
Avk;Vk;E;;845;113;620;845;113;691;71;9126;-1000;113,62;113,691
Lme;Grm;E;;721;113;653;721;114;19;365;24120;500;113,652545;114,019114
Gä;Gä;U;1;303;113;687;303;113;756;69;17146;700;113,6870002;113,7560002
Ros;Htg;E;;153;113;695;153;113;738;43;2074;-905;113,695;113,738
Gä;Gä;E;3;303;113;695;303;113;763;68;17143;700;113,6951448;113,7631448
Gä;Gä;U;1;303;113;781;303;113;843;62;17147;-700;113,7812002;113,8429002
Fabp;He;U;;627;113;791;627;116;49;783;33079;-2635;113,791056;116,048875
Skrt;Brö;E;;327;113;802;327;113;839;37;9145;821;113,80244;113,839227
Gä;Gä;E;3;303;113;804;303;113;873;69;17144;-700;113,8041448;113,8731448
Våv;Våv;;12;347;113;876;347;113;895;19;33681;-20000;113,875967;113,894754
Sro;Hf;E;;841;113;911;841;114;17;106;13962;562;113,9105005;114,0166006
Gä;Gä;E2;2s;303;113;921;303;113;947;26;17148;-700;113,9209002;113,9469002
Fle;Sde;N;;414;113;986;414;114;425;437;28044;1000;113,9862552;114,4253624
Fle;Sde;U;;414;113;991;414;114;425;431;7153;994;113,9910001;114,425
Ros;Htg;E;;153;113;996;153;114;70;73;2075;-769;113,996;114,07
Rke;Rke;E;1;450;113;996;450;114;31;41;33884;1200;113,996336;114,031144
Rke;Rke;E1;2;450;114;41;450;114;119;78;23450;-10000;114,041;114,119
Gä;Gä;E2;2s;303;114;65;303;114;84;19;17149;700;114,065;114,084
Hy;Ist;E;;431;114;91;431;114;545;453;22364;-589;114,0914776;114,5449025
Möa;Bg;E;;832;114;92;832;114;211;119;13866;-539;114,092;114,211
Boa;Boa;E;1;654;114;100;654;114;220;120;11679;-1795;114,1;114,22
Rke;Rke;E;1;450;114;111;450;114;153;42;33885;-10000;114,111144;114,152865
Nkr;Mos;E;;161;114;137;161;114;202;65;2130;-586;114,137;114,202
Våv;Våv;;12;347;114;137;347;114;162;24;33682;240;114,137456;114,161507
Våv;Våv;N;n;349;114;143;349;114;205;62;28703;-2750;114,1426494;114,2045113
Mkl;Dl;E;;621;114;150;621;114;490;340;10481;2832;114,15;114,49
Våv;Våv;;z1;001;114;167;001;114;198;30;33678;-145;114,16736;114,197558
Jps;Stlv;E;;552;114;170;552;114;292;122;10044;-1515;114,17;114,292
Våv;Våv;U;u;349;114;174;349;114;231;57;28716;-2247;114,1742602;114,2311872
Sro;Hf;E;;841;114;177;841;114;237;61;13963;-588;114,1766003;114,2373005
Våv;Våv;;12;347;114;182;347;114;201;20;33683;640;114,181507;114,20147
Våv;Våv;;12;347;114;201;347;114;214;12;33683;640;114,20147;114,213507
Våv;Våv;;hamnspår;347;114;225;347;114;257;32;33679;-300;114,225241;114,257007
Ros;Htg;E;;153;114;227;153;114;450;223;2076;383;114,227;114,45
Våv;Våv;;utdraget;347;114;250;347;114;271;21;33684;-200;114,250231;114,271204
Våv;Våv;;8;347;114;260;347;114;273;13;34370;330;114,259808;114,272814
Rke;Rke;;bv-stick;450;114;272;450;114;305;33;34750;300;114,271918;114,305115
Våv;Våv;;8;347;114;273;347;114;290;17;34370;330;114,272814;114,289545
Våv;Våv;;hamnspår;347;114;278;347;114;289;11;33680;-189,51;114,277994;114,28875
Våv;Våv;;utdraget;347;114;302;347;114;323;20;33685;-280;114,302395;114,322627
Rft;Sdr;E;;732;114;333;732;114;743;410;12823;679;114,333;114,743
Våv;Våv;;vallspår;347;114;350;347;114;365;15;34371;-300;114,35031;114,365019
Våv;Våv;;utdraget;347;114;393;347;114;421;28;33686;-1100;114,393466;114,42145
Fabp;He;N;;627;114;419;627;116;621;724;33071;-2800;114,418592;116,621151
Möa;Bg;E;;832;114;435;832;114;748;313;24786;26000;114,435;114,748
Hvn;Uf;E;;261;114;447;261;114;646;199;2851;800;114,447;114,6460098
Våv;Våv;;vallspår;347;114;496;347;114;549;53;34372;-600;114,496006;114,549441
Hy;Ist;E;;431;114;565;431;114;634;69;22365;-615;114,5649025;114,6343931
Våv;Våv;N;n;349;114;576;349;114;624;47;28704;2050;114,5763315;114,6236854
Våv;Våv;;vallspår;347;114;590;347;114;614;24;34373;557,89;114,589862;114,61364
Våv;Våv;U;u;349;114;595;349;114;650;55;28717;2650;114,5950496;114,6500223
Våv;Våv;;utdraget;347;114;606;347;114;626;19;34373;557,89;114,60646;114,625522
Uf;Uf;E;2;261;114;646;261;114;722;76;2851;800;114,6460098;114,722
Nkr;Mos;E;;161;114;720;161;115;0;280;34915;-1500;114,72;115
Lea;Tlg;E;;331;114;750;331;115;28;278;6016;-590;114,7496;115,028
Rb;Nät;E;;943;114;759;943;114;940;181;14724;-452;114,75886;114,94002
Gä;Gä;E;3;303;114;766;303;114;766;0;21731;-300;114,766;114,7663
Gä;Gä;E;ö;303;114;766;303;114;889;123;21731;-300;114,7663;114,889
Lme;Grm;E;;721;114;787;721;114;985;198;24121;864;114,7869021;114,9848782
Rke;Rke;E;1;450;114;798;450;115;21;218;8087;-476;114,798043;115,0211
Kat;Gun;E;;152;114;814;152;114;893;79;1862;1754;114,814;114,893
Sro;Hf;E;;841;114;832;841;114;897;65;13964;-1523;114,8319001;114,8968003
Gä;Smo;E;ö;303;114;889;303;114;889;0;21731;-300;114,889;114,88902
Smo;Smo;E;ö;303;114;889;303;114;928;39;21731;-300;114,88902;114,928
Vk;Vk;E;1;845;114;893;845;115;10;117;22881;-909;114,893;115,0100028
Klh;Born;E;;265;114;923;265;115;407;487;31953;1550;114,923;115,407
Ros;Htg;E;;153;115;24;153;115;549;525;2077;-415;115,024;115,549
Nkr;Mos;E;;161;115;40;161;115;70;30;34914;-500;115,04;115,07
Smo;Smo;E;ö;303;115;81;303;115;677;596;14856;300;115,081;115,677
Våv;Våv;U;u;349;115;125;349;115;213;88;28718;-6100;115,1247634;115,2127016
Våv;Våv;N;n;349;115;142;349;115;221;79;28705;-6100;115,1417953;115,2212948
Våv;Våv;;utdraget;347;115;152;347;115;236;84;34374;-6100;115,15207;115,235812
Nkr;Mos;E;;161;115;161;161;116;282;1120;2132;2482;115,161;116,282
Sro;Hf;E;;841;115;171;841;115;212;41;13965;834;115,1707002;115,2118003
Rft;Sdr;E;;732;115;180;732;115;524;344;12824;-397;115,18;115,524
Hy;Ist;E;;431;115;200;431;115;464;264;22366;-1470;115,1998184;115,4641345
Vk;Vk;E;1;845;115;200;845;115;421;221;22882;-746;115,2;115,421
Fle;Sde;U;;414;115;221;414;115;557;336;7154;-1486;115,221;115,557
Fle;Sde;N;;414;115;223;414;115;558;335;28045;-1486;115,2228879;115,5576017
Våv;Våv;;utdraget;347;115;236;347;115;263;27;34375;-500;115,235812;115,262954
Våv;Dt;U;;349;115;341;349;115;429;88;28719;6106,5;115,3407016;115,4287189
Våv;Dt;N;;349;115;349;349;115;429;79;28706;6100;115,3492947;115,4287137
Lme;Grm;E;;721;115;419;721;115;460;41;24124;99000;115,4187305;115,4596936
Lea;Tlg;E;;331;115;471;331;115;619;148;6017;685;115,4713;115,619
Skrt;Brö;E;;327;115;519;327;115;539;21;35920;120000;115,518806;115,539375
Rb;Nät;E;;943;115;594;943;116;229;632;14725;-448;115,59424;116,22891
Rke;Kör;E;;490;115;612;490;115;708;96;8088;-590;115,6121;115,7079
Klh;Born;E;;265;115;651;265;116;215;561;31954;-1540;115,651;116,215
Uf;Uf;E;3;261;115;659;261;115;698;39;2852;-1260;115,659;115,698
Vk;Vk;E;1;845;115;660;845;116;47;384;22883;847;115,6600001;116,0465001
Sro;Hf;E;;841;115;703;841;115;758;54;13966;-524;115,7033003;115,7577007
Uf;Uf;;14;262;115;710;262;115;775;65;33026;-290;115,71;115,775
Möa;Bg;E;;832;115;760;832;115;949;189;13867;-745;115,76;115,949
Uf;Uf;E;3;261;115;769;261;115;809;40;2853;700;115,769;115,80901
Boa;Fra;E;;654;115;770;654;116;49;280;11680;-787;115,77;116,0489
Uf;Löb;E;;261;115;809;261;115;814;5;2853;700;115,80901;115,814
Uf;Uf;;14;262;115;815;262;115;845;30;33027;-470;115,815;115,845
Smo;Smo;E;ö;303;115;881;303;115;908;27;17618;-568;115,8810001;115,9080001
Uf;Uf;;14;262;115;885;262;115;940;55;33028;-310;115,885;115,94
Lme;Grm;E;;721;115;891;721;116;80;190;24125;-960;115,8909536;116,0802754
Uf;Löb;E;;261;115;894;261;116;10;117;2854;995;115,894;116,010371
Hy;Ist;E;;431;115;918;431;116;5;87;22367;600;115,9183212;116,0054199
Uf;Uf;;14;262;115;940;262;116;91;151;33029;-300;115,94;116,091377
Kat;Gun;E;;152;115;960;152;116;69;109;1863;1852;115,96;116,069
Rke;Kör;E;;490;115;983;490;116;396;414;27428;1751;115,983224;116,3961311
Möa;Bg;E;;832;116;25;832;116;93;68;13868;-935;116,025;116,093
Sro;Hf;E;;841;116;38;841;116;145;107;13967;598;116,0380005;116,1454009
Uf;Uf;;14;262;116;91;262;116;161;70;33029;-300;116,091377;116,161
Lea;Tlg;E;;331;116;146;331;116;360;214;6018;1900;116,146;116,3603
Vk;Vk;E;1;845;116;181;845;116;215;34;22884;-303;116,1805001;116,2145001
Fabp;He;U;;627;116;209;627;116;640;431;33080;-2800;116,208875;116,64029
Ros;Htg;E;;153;116;210;153;116;324;114;2078;-614;116,21;116,324
Sro;Hf;E;;841;116;301;841;116;354;52;13968;-522;116,3014004;116,3538008
Skrt;Brö;E;;327;116;346;327;116;381;35;9146;-1289;116,346422;116,381487
Boa;Fra;E;;654;116;349;654;116;519;170;11681;590;116,3489;116,5189
Fle;Sde;U;;414;116;438;414;116;681;243;7155;-2054;116,4380005;116,6806025
Fle;Sde;N;;414;116;438;414;116;680;242;28046;-2050;116,4381177;116,6797497
Born;Ors;E;;265;116;445;265;116;946;501;31955;3375;116,445;116,946
Rft;Sdr;E;;732;116;492;732;116;622;130;12825;784;116,492;116,622
Sro;Hf;E;;841;116;501;841;116;790;289;13969;704;116,5008003;116,7901006
Uf;Löb;E;;261;116;511;261;116;661;150;2855;-985;116,511;116,661
Rb;Nät;E;;943;116;514;943;116;575;61;14726;446;116,51391;116,5749902
Smo;Smo;E;ö;303;116;527;303;116;960;433;17619;-801;116,527;116,9600001
Nät;Nät;E;1;943;116;575;943;116;846;271;14726;446;116,5749905;116,84645
Nkr;Mos;E;;161;116;585;161;116;658;73;2133;1008;116,585;116,658
Hy;Ist;E;;431;116;648;431;116;915;266;22368;593;116,6482263;116,9146542
Rft;Sdr;E;;732;116;674;732;116;796;122;12826;977;116,674;116,796
Smu;Lrd;E;;742;116;715;742;116;796;81;12392;-461;116,715;116,796
Vk;Vk;E;1;845;116;808;845;117;130;319;22981;-437;116,8080004;117,1301003
Sro;Hf;E;;841;116;840;841;116;930;90;13970;593;116,8401006;116,9304009
Rft;Sdr;E;;732;116;878;732;117;155;277;12827;697;116,878;117,1546001
Lme;Grm;E;;721;116;905;721;117;370;467;24128;-981;116,904501;117,370402
Skrt;Brö;E;;327;116;917;327;117;301;384;9147;879;116,917101;117,30113
Nät;Nät;;2;943;116;980;943;117;2;23;36048;600;116,980382;117,001615
Nät;Nät;;2;943;117;29;943;117;68;38;25384;-600;117,02945;117,067656
Fle;Sde;U;;414;117;86;414;117;680;593;7156;2045;117,0862837;117,6795957
Fle;Sde;N;;414;117;86;414;117;683;596;28047;2050;117,0863341;117,6826081
Sro;Hf;E;;841;117;101;841;117;400;299;13971;-701;117,1012007;117,4002007
Möa;Bg;E;;832;117;128;832;117;169;41;13869;-2062;117,128;117,1694004
Hy;Ist;E;;431;117;129;431;117;554;426;22369;-589;117,128537;117,5543066
Born;Ors;E;;265;117;176;265;117;641;465;31956;-2095;117,176;117,641
Ros;Htg;E;;153;117;192;153;117;353;161;2079;934;117,192;117,353
Rke;Kör;E;;490;117;261;490;117;472;211;27429;-1183;117,2606117;117,4720225
Nät;Nät;;3;943;117;263;943;117;283;20;25387;190;117,263;117,283105
Mkl;Dl;E;;621;117;283;621;117;615;332;10482;-554;117,283;117,615
Lea;Tlg;E;;331;117;285;331;117;360;75;6019;393;117,2845;117,35999
Nkr;Mos;E;;161;117;343;161;118;128;784;2134;1003;117,343;118,128
Tlg;Tlg;E;2;331;117;360;331;117;457;97;6019;393;117,3599901;117,4574
Nät;Nät;;4;943;117;409;943;117;487;79;25390;-500;117,4085;117,4870999
Nät;Nät;;3;943;117;415;943;117;435;19;25388;300;117,4153999;117,4345999
Fabp;He;N;;627;117;419;627;118;324;904;33072;3200;117,419153;118,323617
Rft;Sdr;E;;732;117;434;732;117;660;226;12828;-597;117,4336;117,6596
Fabp;He;U;;627;117;448;627;118;355;904;33081;3200;117,448349;118,354938
Nät;Nät;;2;943;117;457;943;117;525;68;25385;1090;117,456878;117,525008
Nät;Nät;E;1;943;117;477;943;117;618;141;14727;971;117,47666;117,61799
Tlg;Tlg;E;2;331;117;507;331;117;537;29;6020;725;117,5074;117,5367
